experience,before,after
over1,0.142857143,0.857142857
no,0.142857143,0.928571429
over1,0.785714286,1
over1,0.642857143,0.714285714
over1,0.857142857,0.785714286
over1,0.428571429,1
over1,0.714285714,0.714285714
less1,0.071428571,0
over1,0.928571429,0.928571429
less1,0.642857143,0.857142857
less1,0.642857143,1
no,0.142857143,0.714285714
over1,0.428571429,0.928571429
over1,0.642857143,1
over1,0.714285714,0.714285714
no,0.071428571,1
no,0.285714286,0.857142857
over1,0.285714286,0.214285714
less1,0.285714286,0.357142857
no,0.285714286,1
over1,0.571428571,1
less1,0.071428571,0.785714286
less1,0.714285714,1
over1,0.285714286,0.285714286
less1,0.571428571,1
over1,0.5,0.571428571
over1,0.357142857,1
less1,0.5,1
less1,0.5,1
over1,0.571428571,0.571428571
over1,0.214285714,0.142857143
over1,0.357142857,0.285714286
over1,0.714285714,0.714285714
less1,0.142857143,1
over1,0.714285714,0.714285714
over1,0.714285714,0.714285714
less1,0.285714286,0.928571429
no,0,0.857142857
over1,0.714285714,0.714285714
